GeneID	Chr	Start	End	Strand	Length	GeneSymbol	EnsID	EnsID_short
ENSMUSG00000019782.10_Rwdd1	chr10	33996555	34019624	-	1601	Rwdd1	ENSMUSG00000019782.10	ENSMUSG00000019782
ENSMUSG00000071340.2_Trappc3l	chr10	34037597	34109815	+	1343	Trappc3l	ENSMUSG00000071340.2	ENSMUSG00000071340
ENSMUSG00000039508.6_Fam26d	chr10	34038784	34044310	-	5527	Fam26d	ENSMUSG00000039508.6	ENSMUSG00000039508
ENSMUSG00000049872.8_Fam26e	chr10	34087815	34096519	-	5323	Fam26e	ENSMUSG00000049872.8	ENSMUSG00000049872
ENSMUSG00000046031.7_Fam26f	chr10	34126067	34127984	-	1094	Fam26f	ENSMUSG00000046031.7	ENSMUSG00000046031
ENSMUSG00000039497.8_Dse	chr10	34151393	34207635	-	4980	Dse	ENSMUSG00000039497.8	ENSMUSG00000039497
ENSMUSG00000047514.6_Tspyl1	chr10	34282190	34285275	+	3086	Tspyl1	ENSMUSG00000047514.6	ENSMUSG00000047514
ENSMUSG00000039480.14_Nt5dc1	chr10	34288288	34418539	-	3505	Nt5dc1	ENSMUSG00000039480.14	ENSMUSG00000039480
ENSMUSG00000039485.8_Tspyl4	chr10	34297442	34301316	+	3879	Tspyl4	ENSMUSG00000039485.8	ENSMUSG00000039485
ENSMUSG00000039462.4_Col10a1	chr10	34389981	34397085	+	3130	Col10a1	ENSMUSG00000039462.4	ENSMUSG00000039462
ENSMUSG00000019779.15_Frk	chr10	34483399	34611278	+	5256	Frk	ENSMUSG00000019779.15	ENSMUSG00000019779
ENSMUSG00000063953.3_Amd2	chr10	35708675	35711892	-	3218	Amd2	ENSMUSG00000063953.3	ENSMUSG00000063953
ENSMUSG00000044499.11_Hs3st5	chr10	36506814	36833773	+	4340	Hs3st5	ENSMUSG00000044499.11	ENSMUSG00000044499
ENSMUSG00000019777.16_Hdac2	chr10	36974544	37001889	+	4474	Hdac2	ENSMUSG00000019777.16	ENSMUSG00000019777
ENSMUSG00000069662.5_Marcks	chr10	37133375	37138920	-	4048	Marcks	ENSMUSG00000069662.5	ENSMUSG00000069662
ENSMUSG00000094311.1_Rfpl4b	chr10	38820541	38821779	-	1054	Rfpl4b	ENSMUSG00000094311.1	ENSMUSG00000094311
ENSMUSG00000019846.11_Lama4	chr10	38965515	39110188	+	12068	Lama4	ENSMUSG00000019846.11	ENSMUSG00000019846
ENSMUSG00000051736.8_Fam229b	chr10	39118804	39133900	-	3331	Fam229b	ENSMUSG00000051736.8	ENSMUSG00000051736
ENSMUSG00000019845.8_Tube1	chr10	39133976	39151058	+	7838	Tube1	ENSMUSG00000019845.8	ENSMUSG00000019845
ENSMUSG00000062074.7_Wisp3	chr10	39150970	39163794	-	1419	Wisp3	ENSMUSG00000062074.7	ENSMUSG00000062074
ENSMUSG00000019843.14_Fyn	chr10	39368855	39565381	+	4363	Fyn	ENSMUSG00000019843.14	ENSMUSG00000019843
ENSMUSG00000019842.6_Traf3ip2	chr10	39612934	39655307	+	3687	Traf3ip2	ENSMUSG00000019842.6	ENSMUSG00000019842
ENSMUSG00000019841.15_Rev3l	chr10	39732118	39875211	+	13293	Rev3l	ENSMUSG00000019841.15	ENSMUSG00000019841
ENSMUSG00000096687.7_Mfsd4b4	chr10	39890018	39899238	-	3833	Mfsd4b4	ENSMUSG00000096687.7	ENSMUSG00000096687
ENSMUSG00000039339.3_Mfsd4b2	chr10	39920382	39926923	-	2285	Mfsd4b2	ENSMUSG00000039339.3	ENSMUSG00000039339
ENSMUSG00000071335.4_Mfsd4b3	chr10	39946907	39960153	-	1787	Mfsd4b3	ENSMUSG00000071335.4	ENSMUSG00000071335
ENSMUSG00000038528.14_Mfsd4b5	chr10	39958061	39986640	-	6027	Mfsd4b5	ENSMUSG00000038528.14	ENSMUSG00000038528
ENSMUSG00000038522.6_Mfsd4b1	chr10	40001575	40025268	-	2729	Mfsd4b1	ENSMUSG00000038522.6	ENSMUSG00000038522
ENSMUSG00000019838.11_Slc16a10	chr10	40033532	40142254	-	7356	Slc16a10	ENSMUSG00000019838.11	ENSMUSG00000019838
ENSMUSG00000038510.12_Rpf2	chr10	40223246	40247036	-	1924	Rpf2	ENSMUSG00000038510.12	ENSMUSG00000038510
ENSMUSG00000019837.8_Gtf3c6	chr10	40247703	40258108	-	2799	Gtf3c6	ENSMUSG00000019837.8	ENSMUSG00000019837
ENSMUSG00000075232.5_Amd1	chr10	40287458	40302186	-	3542	Amd1	ENSMUSG00000075232.5	ENSMUSG00000075232
ENSMUSG00000038481.13_Cdk19	chr10	40339564	40480868	+	5846	Cdk19	ENSMUSG00000038481.13	ENSMUSG00000038481
ENSMUSG00000019834.15_Slc22a16	chr10	40570336	40604132	+	2416	Slc22a16	ENSMUSG00000019834.15	ENSMUSG00000019834
ENSMUSG00000063428.8_Ddo	chr10	40630011	40681847	+	8925	Ddo	ENSMUSG00000063428.8	ENSMUSG00000063428
ENSMUSG00000045555.3_Mettl24	chr10	40683282	40811083	+	1529	Mettl24	ENSMUSG00000045555.3	ENSMUSG00000045555
ENSMUSG00000038446.8_Cdc40	chr10	40831621	40883311	-	8196	Cdc40	ENSMUSG00000038446.8	ENSMUSG00000038446
ENSMUSG00000019831.14_Wasf1	chr10	40883475	40938569	+	2854	Wasf1	ENSMUSG00000019831.14	ENSMUSG00000019831
ENSMUSG00000046922.7_Gpr6	chr10	41069977	41072285	-	1786	Gpr6	ENSMUSG00000046922.7	ENSMUSG00000046922
ENSMUSG00000038417.4_Fig4	chr10	41188172	41303260	-	3282	Fig4	ENSMUSG00000038417.4	ENSMUSG00000038417
ENSMUSG00000091415.5_Ak9	chr10	41303980	41434534	+	6968	Ak9	ENSMUSG00000091415.5	ENSMUSG00000091415
ENSMUSG00000019826.11_Zbtb24	chr10	41450383	41465574	+	5123	Zbtb24	ENSMUSG00000019826.11	ENSMUSG00000019826
ENSMUSG00000019823.17_Mical1	chr10	41476314	41487030	+	6047	Mical1	ENSMUSG00000019823.17	ENSMUSG00000019823
ENSMUSG00000019822.12_Smpd2	chr10	41485642	41490340	-	4468	Smpd2	ENSMUSG00000019822.12	ENSMUSG00000019822
ENSMUSG00000078451.5_Ppil6	chr10	41490439	41514286	+	1169	Ppil6	ENSMUSG00000078451.5	ENSMUSG00000078451
ENSMUSG00000019818.15_Cd164	chr10	41519414	41531048	+	4449	Cd164	ENSMUSG00000019818.15	ENSMUSG00000019818
ENSMUSG00000075225.14_Ccdc162	chr10	41538846	41716634	-	10197	Ccdc162	ENSMUSG00000075225.14	ENSMUSG00000075225
ENSMUSG00000019813.16_Cep57l1	chr10	41718840	41809871	-	5851	Cep57l1	ENSMUSG00000019813.16	ENSMUSG00000019813
ENSMUSG00000038332.13_Sesn1	chr10	41809935	41908424	+	3966	Sesn1	ENSMUSG00000038332.13	ENSMUSG00000038332
ENSMUSG00000071324.11_Armc2	chr10	41914990	42018436	-	7188	Armc2	ENSMUSG00000071324.11	ENSMUSG00000071324
ENSMUSG00000048756.11_Foxo3	chr10	42181841	42276742	-	7571	Foxo3	ENSMUSG00000048756.11	ENSMUSG00000048756
ENSMUSG00000038302.14_Afg1l	chr10	42312585	42478280	-	2705	Afg1l	ENSMUSG00000038302.14	ENSMUSG00000038302
ENSMUSG00000019804.12_Snx3	chr10	42502030	42535370	+	1413	Snx3	ENSMUSG00000019804.12	ENSMUSG00000019804
ENSMUSG00000019803.11_Nr2e1	chr10	42561963	42583632	-	3711	Nr2e1	ENSMUSG00000019803.11	ENSMUSG00000019803
ENSMUSG00000038280.12_Ostm1	chr10	42583822	42700492	+	7211	Ostm1	ENSMUSG00000038280.12	ENSMUSG00000038280
ENSMUSG00000019802.13_Sec63	chr10	42761496	42832514	+	8787	Sec63	ENSMUSG00000019802.13	ENSMUSG00000019802
ENSMUSG00000044770.14_Scml4	chr10	42860370	42960780	+	7725	Scml4	ENSMUSG00000044770.14	ENSMUSG00000044770
ENSMUSG00000038248.8_Sobp	chr10	43002500	43174530	-	5529	Sobp	ENSMUSG00000038248.8	ENSMUSG00000038248
ENSMUSG00000045008.1_9030612E09Rik	chr10	43174704	43176562	+	1859	9030612E09Rik	ENSMUSG00000045008.1	ENSMUSG00000045008
ENSMUSG00000038240.13_Pdss2	chr10	43221486	43464882	+	5963	Pdss2	ENSMUSG00000038240.13	ENSMUSG00000038240
ENSMUSG00000038214.15_Bend3	chr10	43478831	43515396	+	6819	Bend3	ENSMUSG00000038214.15	ENSMUSG00000038214
ENSMUSG00000045886.7_Gm9803	chr10	43524084	43524645	+	563	Gm9803	ENSMUSG00000045886.7	ENSMUSG00000045886
ENSMUSG00000019797.11_1700021F05Rik	chr10	43525133	43540968	-	4141	1700021F05Rik	ENSMUSG00000019797.11	ENSMUSG00000019797
ENSMUSG00000047139.9_Cd24a	chr10	43578284	43584265	+	2580	Cd24a	ENSMUSG00000047139.9	ENSMUSG00000047139
ENSMUSG00000019863.7_Qrsl1	chr10	43874188	43901745	-	3876	Qrsl1	ENSMUSG00000019863.7	ENSMUSG00000019863
ENSMUSG00000019864.14_Rtn4ip1	chr10	43901807	43957201	+	4554	Rtn4ip1	ENSMUSG00000019864.14	ENSMUSG00000019864
ENSMUSG00000019866.14_Aim1	chr10	43950636	44148853	-	7525	Aim1	ENSMUSG00000019866.14	ENSMUSG00000019866
ENSMUSG00000038160.7_Atg5	chr10	44268358	44364291	+	2352	Atg5	ENSMUSG00000038160.7	ENSMUSG00000038160
ENSMUSG00000038151.13_Prdm1	chr10	44437177	44528501	-	5579	Prdm1	ENSMUSG00000038151.13	ENSMUSG00000038151
ENSMUSG00000019849.11_Prep	chr10	45067203	45167198	+	10933	Prep	ENSMUSG00000019849.11	ENSMUSG00000019849
ENSMUSG00000019848.14_Popdc3	chr10	45178098	45318452	+	2083	Popdc3	ENSMUSG00000019848.14	ENSMUSG00000019848
ENSMUSG00000071317.4_Bves	chr10	45335772	45372479	+	4610	Bves	ENSMUSG00000071317.4	ENSMUSG00000071317
ENSMUSG00000063804.8_Lin28b	chr10	45376620	45486395	-	9065	Lin28b	ENSMUSG00000063804.8	ENSMUSG00000063804
ENSMUSG00000038822.15_Hace1	chr10	45577829	45712345	+	12851	Hace1	ENSMUSG00000038822.15	ENSMUSG00000038822
ENSMUSG00000056073.16_Grik2	chr10	49094833	49788766	-	13246	Grik2	ENSMUSG00000056073.16	ENSMUSG00000056073
ENSMUSG00000038774.9_Ascc3	chr10	50592669	50851485	+	16685	Ascc3	ENSMUSG00000038774.9	ENSMUSG00000038774
ENSMUSG00000019913.4_Sim1	chr10	50894754	50989152	+	8621	Sim1	ENSMUSG00000019913.4	ENSMUSG00000019913
ENSMUSG00000062593.17_Lilrb4a	chr10	51480612	51496481	+	1990	Lilrb4a	ENSMUSG00000062593.17	ENSMUSG00000062593
ENSMUSG00000112023.1_Lilr4b	chr10	51480632	51486703	+	5439	Lilr4b	ENSMUSG00000112023.1	ENSMUSG00000112023
ENSMUSG00000112148.1_Lilrb4a	chr10	51490956	51496601	+	5227	Lilrb4a	ENSMUSG00000112148.1	ENSMUSG00000112148
ENSMUSG00000019909.4_Fam162b	chr10	51585416	51590517	-	646	Fam162b	ENSMUSG00000019909.4	ENSMUSG00000019909
ENSMUSG00000019905.8_Gprc6a	chr10	51614823	51631431	-	2859	Gprc6a	ENSMUSG00000019905.8	ENSMUSG00000019905
ENSMUSG00000019900.19_Rfx6	chr10	51677756	51730432	+	4010	Rfx6	ENSMUSG00000019900.19	ENSMUSG00000019900
ENSMUSG00000049641.14_Vgll2	chr10	52022502	52028011	+	1650	Vgll2	ENSMUSG00000049641.14	ENSMUSG00000049641
ENSMUSG00000019893.13_Ros1	chr10	52045721	52194956	-	7776	Ros1	ENSMUSG00000019893.13	ENSMUSG00000019893
ENSMUSG00000019891.15_Dcbld1	chr10	52233619	52321376	+	7282	Dcbld1	ENSMUSG00000019891.15	ENSMUSG00000019891
ENSMUSG00000019861.15_Gopc	chr10	52335850	52382124	-	10958	Gopc	ENSMUSG00000019861.15	ENSMUSG00000019861
ENSMUSG00000038624.13_Nepn	chr10	52388972	52404625	+	1999	Nepn	ENSMUSG00000038624.13	ENSMUSG00000038624
ENSMUSG00000023068.16_Nus1	chr10	52417547	52440183	+	4867	Nus1	ENSMUSG00000023068.16	ENSMUSG00000023068
ENSMUSG00000038602.7_Slc35f1	chr10	52690533	53111622	+	4941	Slc35f1	ENSMUSG00000038602.7	ENSMUSG00000038602
ENSMUSG00000038594.9_Cep85l	chr10	53273443	53379947	-	7986	Cep85l	ENSMUSG00000038594.9	ENSMUSG00000038594
ENSMUSG00000038583.13_Pln	chr10	53337667	53345593	+	2759	Pln	ENSMUSG00000038583.13	ENSMUSG00000038583
ENSMUSG00000058298.8_Mcm9	chr10	53536315	53630439	-	9113	Mcm9	ENSMUSG00000058298.8	ENSMUSG00000058298
ENSMUSG00000019857.7_Asf1a	chr10	53596757	53607982	+	3638	Asf1a	ENSMUSG00000019857.7	ENSMUSG00000019857
ENSMUSG00000019856.14_Fam184a	chr10	53633145	53751123	-	5368	Fam184a	ENSMUSG00000019856.14	ENSMUSG00000019856
ENSMUSG00000003746.16_Man1a	chr10	53904785	54076609	-	9647	Man1a	ENSMUSG00000003746.16	ENSMUSG00000003746
ENSMUSG00000038122.9_Tbc1d32	chr10	56014293	56228689	-	10556	Tbc1d32	ENSMUSG00000038122.9	ENSMUSG00000038122
ENSMUSG00000047669.8_Msl3l2	chr10	56106917	56116174	+	2140	Msl3l2	ENSMUSG00000047669.8	ENSMUSG00000047669
ENSMUSG00000050953.10_Gja1	chr10	56377330	56402513	+	10257	Gja1	ENSMUSG00000050953.10	ENSMUSG00000050953
ENSMUSG00000019878.8_Hsf2	chr10	57486385	57513135	+	9606	Hsf2	ENSMUSG00000019878.8	ENSMUSG00000019878
ENSMUSG00000019877.10_Serinc1	chr10	57515774	57532530	-	5150	Serinc1	ENSMUSG00000019877.10	ENSMUSG00000019877
ENSMUSG00000019876.15_Pkib	chr10	57631981	57738928	+	11800	Pkib	ENSMUSG00000019876.15	ENSMUSG00000019876
ENSMUSG00000019874.11_Fabp7	chr10	57784881	57788450	+	1250	Fabp7	ENSMUSG00000019874.11	ENSMUSG00000019874
ENSMUSG00000019872.13_Smpdl3a	chr10	57794335	57811830	+	2065	Smpdl3a	ENSMUSG00000019872.13	ENSMUSG00000019872
ENSMUSG00000058537.4_AW822073	chr10	58222972	58224930	-	1959	AW822073	ENSMUSG00000058537.4	ENSMUSG00000058537
ENSMUSG00000075046.7_Duxf3	chr10	58229979	58232013	-	2697	Duxf3	ENSMUSG00000075046.7	ENSMUSG00000075046
ENSMUSG00000075045.4_Gm4981	chr10	58234848	58236701	-	1854	Gm4981	ENSMUSG00000075045.4	ENSMUSG00000075045
ENSMUSG00000038039.13_Gcc2	chr10	58255497	58305599	+	9630	Gcc2	ENSMUSG00000038039.13	ENSMUSG00000038039
ENSMUSG00000019920.17_Lims1	chr10	58323466	58424691	+	4891	Lims1	ENSMUSG00000019920.17	ENSMUSG00000019920
ENSMUSG00000003226.7_Ranbp2	chr10	58446920	58494356	+	11728	Ranbp2	ENSMUSG00000003226.7	ENSMUSG00000003226
ENSMUSG00000038010.9_Ccdc138	chr10	58497948	58576244	+	5102	Ccdc138	ENSMUSG00000038010.9	ENSMUSG00000038010
ENSMUSG00000003227.4_Edar	chr10	58600789	58675654	-	3637	Edar	ENSMUSG00000003227.4	ENSMUSG00000003227
ENSMUSG00000037990.18_Sh3rf3	chr10	58813359	59138916	+	7242	Sh3rf3	ENSMUSG00000037990.18	ENSMUSG00000037990
ENSMUSG00000019917.10_Sept10	chr10	59141627	59221847	-	3110	10-Sep	ENSMUSG00000019917.10	ENSMUSG00000019917
ENSMUSG00000098188.1_Sowahc	chr10	59221953	59226434	+	4482	Sowahc	ENSMUSG00000098188.1	ENSMUSG00000098188
ENSMUSG00000019916.14_P4ha1	chr10	59323296	59373304	+	4114	P4ha1	ENSMUSG00000019916.14	ENSMUSG00000019916
ENSMUSG00000069622.4_Gm10273	chr10	59395632	59396757	+	1126	Gm10273	ENSMUSG00000069622.4	ENSMUSG00000069622
ENSMUSG00000009646.13_Pla2g12b	chr10	59403660	59421976	+	1182	Pla2g12b	ENSMUSG00000009646.13	ENSMUSG00000009646
ENSMUSG00000009654.4_Oit3	chr10	59422958	59441778	-	2788	Oit3	ENSMUSG00000009654.4	ENSMUSG00000009654
ENSMUSG00000009647.13_Mcu	chr10	59446984	59616692	-	6936	Mcu	ENSMUSG00000009647.13	ENSMUSG00000009647
ENSMUSG00000071280.1_Gm10322	chr10	59616063	59616398	+	336	Gm10322	ENSMUSG00000071280.1	ENSMUSG00000071280
ENSMUSG00000020111.15_Micu1	chr10	59702477	59864130	+	9234	Micu1	ENSMUSG00000020111.15	ENSMUSG00000020111
ENSMUSG00000020109.13_Dnajb12	chr10	59879556	59899302	+	3369	Dnajb12	ENSMUSG00000020109.13	ENSMUSG00000020109
ENSMUSG00000020108.4_Ddit4	chr10	59949669	59951834	-	1755	Ddit4	ENSMUSG00000020108.4	ENSMUSG00000020108
ENSMUSG00000020107.10_Anapc16	chr10	59987409	60003135	-	4890	Anapc16	ENSMUSG00000020107.10	ENSMUSG00000020107
ENSMUSG00000044475.14_Ascc1	chr10	60002805	60099986	+	2193	Ascc1	ENSMUSG00000044475.14	ENSMUSG00000044475
ENSMUSG00000058297.16_Spock2	chr10	60106219	60135198	+	5533	Spock2	ENSMUSG00000058297.16	ENSMUSG00000058297
ENSMUSG00000057337.13_Chst3	chr10	60181532	60219260	-	6497	Chst3	ENSMUSG00000057337.13	ENSMUSG00000057337
ENSMUSG00000004207.14_Psap	chr10	60277627	60302594	+	2744	Psap	ENSMUSG00000004207.14	ENSMUSG00000004207
ENSMUSG00000012819.15_Cdh23	chr10	60302748	60696490	-	16939	Cdh23	ENSMUSG00000012819.15	ENSMUSG00000012819
ENSMUSG00000020101.14_Vsir	chr10	60346851	60372684	+	5014	Vsir	ENSMUSG00000020101.14	ENSMUSG00000020101
ENSMUSG00000090439.2_Gm17455	chr10	60399726	60403556	+	960	Gm17455	ENSMUSG00000090439.2	ENSMUSG00000090439
ENSMUSG00000020100.15_Slc29a3	chr10	60712072	60752782	-	5834	Slc29a3	ENSMUSG00000020100.15	ENSMUSG00000020100
ENSMUSG00000020099.8_Unc5b	chr10	60762593	60831581	-	6258	Unc5b	ENSMUSG00000020099.8	ENSMUSG00000020099
ENSMUSG00000020098.7_Pcbd1	chr10	61089331	61094000	+	817	Pcbd1	ENSMUSG00000020098.7	ENSMUSG00000020098
ENSMUSG00000020097.14_Sgpl1	chr10	61098642	61147676	-	6143	Sgpl1	ENSMUSG00000020097.14	ENSMUSG00000020097
ENSMUSG00000020096.20_Tbata	chr10	61171954	61188836	+	2426	Tbata	ENSMUSG00000020096.20	ENSMUSG00000020096
ENSMUSG00000059901.12_Adamts14	chr10	61197112	61273438	-	5197	Adamts14	ENSMUSG00000059901.12	ENSMUSG00000059901
ENSMUSG00000037202.6_Prf1	chr10	61297833	61304680	+	2584	Prf1	ENSMUSG00000037202.6	ENSMUSG00000037202
ENSMUSG00000020092.9_Pald1	chr10	61319656	61383530	-	4535	Pald1	ENSMUSG00000020092.9	ENSMUSG00000020092
ENSMUSG00000037171.6_Nodal	chr10	61417972	61425338	+	2095	Nodal	ENSMUSG00000037171.6	ENSMUSG00000037171
ENSMUSG00000020091.15_Eif4ebp2	chr10	61428491	61452658	-	5784	Eif4ebp2	ENSMUSG00000020091.15	ENSMUSG00000020091
ENSMUSG00000037151.8_Lrrc20	chr10	61475801	61582791	+	3216	Lrrc20	ENSMUSG00000037151.8	ENSMUSG00000037151
ENSMUSG00000020090.7_Npffr1	chr10	61595492	61628565	+	3479	Npffr1	ENSMUSG00000020090.7	ENSMUSG00000020090
ENSMUSG00000020089.8_Ppa1	chr10	61648552	61674168	+	2902	Ppa1	ENSMUSG00000020089.8	ENSMUSG00000020089
ENSMUSG00000020088.10_Sar1a	chr10	61680299	61693297	+	3740	Sar1a	ENSMUSG00000020088.10	ENSMUSG00000020088
ENSMUSG00000020087.5_Tysnd1	chr10	61695514	61702773	+	2286	Tysnd1	ENSMUSG00000020087.5	ENSMUSG00000020087
ENSMUSG00000020085.15_Aifm2	chr10	61715263	61739260	+	4121	Aifm2	ENSMUSG00000020085.15	ENSMUSG00000020085
ENSMUSG00000020086.6_H2afy2	chr10	61738665	61784147	-	2175	H2afy2	ENSMUSG00000020086.6	ENSMUSG00000020086
ENSMUSG00000058806.14_Col13a1	chr10	61838236	61979073	-	4605	Col13a1	ENSMUSG00000058806.14	ENSMUSG00000058806
ENSMUSG00000020083.13_2010107G23Rik	chr10	62107655	62143906	-	2981	2010107G23Rik	ENSMUSG00000020083.13	ENSMUSG00000020083
ENSMUSG00000044312.4_Neurog3	chr10	62133090	62133898	+	1674	Neurog3	ENSMUSG00000044312.4	ENSMUSG00000044312
ENSMUSG00000037031.10_Tspan15	chr10	62185396	62231251	-	8183	Tspan15	ENSMUSG00000037031.10	ENSMUSG00000037031
ENSMUSG00000020081.5_Tacr2	chr10	62252438	62265990	+	2258	Tacr2	ENSMUSG00000020081.5	ENSMUSG00000020081
ENSMUSG00000037012.18_Hk1	chr10	62268855	62379908	-	8532	Hk1	ENSMUSG00000037012.18	ENSMUSG00000037012
ENSMUSG00000020080.8_Hkdc1	chr10	62383137	62422491	-	5132	Hkdc1	ENSMUSG00000020080.8	ENSMUSG00000020080
ENSMUSG00000020079.15_Supv3l1	chr10	62429209	62449738	-	2969	Supv3l1	ENSMUSG00000020079.15	ENSMUSG00000020079
ENSMUSG00000097129.1_4930507D05Rik	chr10	62449489	62451322	+	1834	4930507D05Rik	ENSMUSG00000097129.1	ENSMUSG00000097129
ENSMUSG00000020078.16_Vps26a	chr10	62455235	62486732	-	2860	Vps26a	ENSMUSG00000020078.16	ENSMUSG00000020078
ENSMUSG00000020077.14_Srgn	chr10	62493833	62527451	-	2196	Srgn	ENSMUSG00000020077.14	ENSMUSG00000020077
ENSMUSG00000036955.16_Kif1bp	chr10	62538626	62578440	-	4892	Kif1bp	ENSMUSG00000036955.16	ENSMUSG00000036955
ENSMUSG00000020075.8_Ddx21	chr10	62580251	62602281	-	5177	Ddx21	ENSMUSG00000020075.8	ENSMUSG00000020075
ENSMUSG00000020076.7_Ddx50	chr10	62615895	62651218	-	10129	Ddx50	ENSMUSG00000020076.7	ENSMUSG00000020076
ENSMUSG00000036923.12_Stox1	chr10	62659043	62725801	-	3680	Stox1	ENSMUSG00000036923.12	ENSMUSG00000036923
ENSMUSG00000020074.7_Ccar1	chr10	62743928	62792286	-	10562	Ccar1	ENSMUSG00000020074.7	ENSMUSG00000020074
ENSMUSG00000047146.16_Tet1	chr10	62804570	62908996	-	15065	Tet1	ENSMUSG00000047146.16	ENSMUSG00000047146
ENSMUSG00000071253.8_Slc25a16	chr10	62920633	62946498	+	4799	Slc25a16	ENSMUSG00000071253.8	ENSMUSG00000071253
ENSMUSG00000036875.15_Dna2	chr10	62947026	62974185	+	5878	Dna2	ENSMUSG00000036875.15	ENSMUSG00000036875
ENSMUSG00000020070.18_Rufy2	chr10	62980223	63017210	+	8108	Rufy2	ENSMUSG00000020070.18	ENSMUSG00000020070
ENSMUSG00000020069.16_Hnrnph3	chr10	63014664	63023894	-	3151	Hnrnph3	ENSMUSG00000020069.16	ENSMUSG00000020069
ENSMUSG00000020072.15_Pbld2	chr10	63024315	63058813	+	2480	Pbld2	ENSMUSG00000020072.15	ENSMUSG00000020072
ENSMUSG00000112129.1_Pbld1	chr10	63060162	63077962	+	3928	Pbld1	ENSMUSG00000112129.1	ENSMUSG00000112129
ENSMUSG00000036816.4_Atoh7	chr10	63099651	63100978	+	1629	Atoh7	ENSMUSG00000036816.4	ENSMUSG00000036816
ENSMUSG00000020067.8_Mypn	chr10	63115795	63203952	-	5821	Mypn	ENSMUSG00000020067.8	ENSMUSG00000020067
ENSMUSG00000020064.9_Herc4	chr10	63243810	63317874	+	8729	Herc4	ENSMUSG00000020064.9	ENSMUSG00000020064
ENSMUSG00000020063.16_Sirt1	chr10	63319005	63381704	-	5331	Sirt1	ENSMUSG00000020063.16	ENSMUSG00000020063
ENSMUSG00000036764.12_Dnajc12	chr10	63382443	63408280	+	4476	Dnajc12	ENSMUSG00000036764.12	ENSMUSG00000036764
ENSMUSG00000048185.5_Gm7075	chr10	63421365	63421789	-	425	Gm7075	ENSMUSG00000048185.5	ENSMUSG00000048185
ENSMUSG00000060843.11_Ctnna3	chr10	63430098	65002965	+	7227	Ctnna3	ENSMUSG00000060843.11	ENSMUSG00000060843
ENSMUSG00000062561.3_Gm10118	chr10	63924866	63927434	-	2569	Gm10118	ENSMUSG00000062561.3	ENSMUSG00000062561
ENSMUSG00000042846.8_Lrrtm3	chr10	63928472	64090277	-	4251	Lrrtm3	ENSMUSG00000042846.8	ENSMUSG00000042846
ENSMUSG00000019873.8_Reep3	chr10	67009189	67096945	-	8294	Reep3	ENSMUSG00000019873.8	ENSMUSG00000019873
ENSMUSG00000037876.17_Jmjd1c	chr10	67096125	67256318	+	17822	Jmjd1c	ENSMUSG00000037876.17	ENSMUSG00000037876
ENSMUSG00000075000.11_Nrbf2	chr10	67266689	67285305	-	1860	Nrbf2	ENSMUSG00000075000.11	ENSMUSG00000075000
ENSMUSG00000037868.15_Egr2	chr10	67535475	67540381	+	3398	Egr2	ENSMUSG00000037868.15	ENSMUSG00000037868
ENSMUSG00000057134.5_Ado	chr10	67544511	67548955	-	4445	Ado	ENSMUSG00000057134.5	ENSMUSG00000057134
ENSMUSG00000037855.15_Zfp365	chr10	67886103	67912662	-	5205	Zfp365	ENSMUSG00000037855.15	ENSMUSG00000037855
ENSMUSG00000037846.18_Rtkn2	chr10	67979570	68059737	+	5547	Rtkn2	ENSMUSG00000037846.18	ENSMUSG00000037846
ENSMUSG00000019947.10_Arid5b	chr10	68092520	68278740	-	10060	Arid5b	ENSMUSG00000019947.10	ENSMUSG00000019947
ENSMUSG00000019945.10_1700040L02Rik	chr10	68430953	68541896	-	1262	1700040L02Rik	ENSMUSG00000019945.10	ENSMUSG00000019945
ENSMUSG00000060044.8_Tmem26	chr10	68723646	68782650	+	5282	Tmem26	ENSMUSG00000060044.8	ENSMUSG00000060044
ENSMUSG00000019944.14_Rhobtb1	chr10	69151434	69289900	+	6075	Rhobtb1	ENSMUSG00000019944.14	ENSMUSG00000019944
ENSMUSG00000090622.1_A930033H14Rik	chr10	69209762	69213098	-	2969	A930033H14Rik	ENSMUSG00000090622.1	ENSMUSG00000090622
ENSMUSG00000019942.13_Cdk1	chr10	69335146	69352903	-	4934	Cdk1	ENSMUSG00000019942.13	ENSMUSG00000019942
ENSMUSG00000069601.14_Ank3	chr10	69398773	70023957	+	34838	Ank3	ENSMUSG00000069601.14	ENSMUSG00000069601
ENSMUSG00000048701.13_Ccdc6	chr10	70097121	70193200	+	6385	Ccdc6	ENSMUSG00000048701.13	ENSMUSG00000048701
ENSMUSG00000019933.7_Mrln	chr10	70204664	70219711	+	1180	Mrln	ENSMUSG00000019933.7	ENSMUSG00000019933
ENSMUSG00000037762.6_Slc16a9	chr10	70245100	70284080	+	3869	Slc16a9	ENSMUSG00000037762.6	ENSMUSG00000037762
ENSMUSG00000043259.15_Fam13c	chr10	70440481	70558729	+	8263	Fam13c	ENSMUSG00000043259.15	ENSMUSG00000043259
ENSMUSG00000037747.9_Phyhipl	chr10	70557682	70655958	-	9732	Phyhipl	ENSMUSG00000037747.9	ENSMUSG00000037747
ENSMUSG00000014329.14_Bicc1	chr10	70922832	71159700	-	7441	Bicc1	ENSMUSG00000014329.14	ENSMUSG00000014329
